Recyclables,City,Volume(kg),Volume1,Volume1,Volume2
Paper,Hong Kong,91.5,1.961421094,4.516338972,0.509834427
Paper,Hong Kong,85,1.929418926,4.442651256,0.518290759
Paper,Hong Kong,120,2.079181246,4.787491743,0.480958551
Paper,Hong Kong,27.5,1.439332694,3.314186005,0.694766404
Paper,Hong Kong,93.5,1.970811611,4.537961436,0.50740517
Paper,Hong Kong,124.5,2.095169351,4.824305716,0.477288387
Paper,Hong Kong,65.5,1.8162413,4.182050143,0.550587634
Paper,Hong Kong,88.5,1.946943271,4.483002552,0.513625648
Paper,Hong Kong,26,1.414973348,3.258096538,0.706727092
Paper,Hong Kong,43.5,1.638489257,3.772760938,0.610318314
Paper,Hong Kong,83.5,1.921686475,4.424846632,0.520376249
Paper,Hong Kong,136.5,2.135132651,4.916324615,0.468354975
Paper,Hong Kong,9,0.954242509,2.197224577,1.047951637
Paper,Hong Kong,161.5,2.208172527,5.084505143,0.452863165
Paper,Hong Kong,176.5,2.24674471,5.173320876,0.445088396
Paper,Hong Kong,70.5,1.848189117,4.25561271,0.54107017
Paper,Hong Kong,170.5,2.231724383,5.138735297,0.448084005
Paper,Hong Kong,61,1.785329835,4.110873864,0.56012059
Paper,Hong Kong,39.5,1.596597096,3.676300672,0.626332093
Paper,Hong Kong,134,2.127104798,4.8978398,0.470122582
Paper,Hong Kong,53.5,1.728353782,3.979681654,0.578585247
Paper,Hong Kong,166.5,2.221414238,5.114995309,0.450163676
Paper,Hong Kong,5,0.698970004,1.609437912,1.430676558
Paper,Hong Kong,30.5,1.484299839,3.417726684,0.673718324
Paper,Hong Kong,48,1.681241237,3.871201011,0.594798639
Paper,Hong Kong,48,1.681241237,3.871201011,0.594798639
Paper,Hong Kong,34,1.531478917,3.526360525,0.652963608
Paper,Hong Kong,34.5,1.537819095,3.540959324,0.650271546
Paper,Hong Kong,32,1.505149978,3.465735903,0.664385619
Paper,Hong Kong,28,1.447158031,3.33220451,0.691009536
Paper,Hong Kong,45,1.653212514,3.80666249,0.604882912
Paper,Hong Kong,6,0.77815125,1.791759469,1.285097209
Paper,Hong Kong,19,1.278753601,2.944438979,0.782011483
Paper,Hong Kong,18,1.255272505,2.890371758,0.79663977
Paper,Hong Kong,23,1.361727836,3.135494216,0.734361136
Paper,Hong Kong,49,1.69019608,3.891820298,0.591647331
Paper,Hong Kong,16,1.204119983,2.772588722,0.830482024
Paper,Hong Kong,2,0.301029996,0.693147181,3.321928095
Paper,Hong Kong,32,1.505149978,3.465735903,0.664385619
Paper,Hong Kong,14,1.146128036,2.63905733,0.87250287
Paper,Hong Kong,37,1.568201724,3.610917913,0.637673065
Paper,Hong Kong,18,1.255272505,2.890371758,0.79663977
Paper,Hong Kong,18,1.255272505,2.890371758,0.79663977
Paper,Hong Kong,11,1.041392685,2.397895273,0.960252568
Paper,Hong Kong,7,0.84509804,1.945910149,1.183294662
Paper,Hong Kong,49,1.69019608,3.891820298,0.591647331
Paper,Hong Kong,7,0.84509804,1.945910149,1.183294662
Paper,Hong Kong,7,0.84509804,1.945910149,1.183294662
Paper,Hong Kong,21,1.322219295,3.044522438,0.756304196
Paper,Hong Kong,4,0.602059991,1.386294361,1.660964047
Paper,Hong Kong,53,1.72427587,3.970291914,0.579953601
Paper,Hong Kong,14,1.146128036,2.63905733,0.87250287
Paper,Hong Kong,34,1.531478917,3.526360525,0.652963608
Paper,Hong Kong,22,1.342422681,3.091042453,0.74492186
Paper,Hong Kong,6,0.77815125,1.791759469,1.285097209
Paper,Hong Kong,4,0.602059991,1.386294361,1.660964047
Paper,Hong Kong,21,1.322219295,3.044522438,0.756304196
Paper,Hong Kong,18.6,1.269512944,2.923161581,0.787703666
Paper,Hong Kong,70,1.84509804,4.248495242,0.54197662
Paper,Hong Kong,22.6,1.354108439,3.117949906,0.738493293
Paper,Hong Kong,3.6,0.556302501,1.280933845,1.797583147
Paper,Hong Kong,33,1.51851394,3.496507561,0.658538571
Paper,Hong Kong,8,0.903089987,2.079441542,1.107309365
Paper,Hong Kong,10,1,2.302585093,1
Paper,Hong Kong,32,1.505149978,3.465735903,0.664385619
Paper,Hong Kong,14.4,1.158362492,2.667228207,0.863287621
Paper,Hong Kong,12,1.079181246,2.48490665,0.926628408
Paper,Hong Kong,32,1.505149978,3.465735903,0.664385619
Paper,Hong Kong,45.4,1.657055853,3.815512105,0.60347996
Paper,Hong Kong,4.2,0.62324929,1.435084525,1.604494406
Paper,Hong Kong,12.4,1.093421685,2.517696473,0.914560241
Paper,Hong Kong,59,1.770852012,4.077537444,0.564699926
Paper,Hong Kong,51.4,1.710963119,3.939638172,0.584466134
Paper,Hong Kong,49,1.69019608,3.891820298,0.591647331
Paper,Hong Kong,8,0.903089987,2.079441542,1.107309365
Paper,Hong Kong,80,1.903089987,4.382026635,0.525461227
Paper,Hong Kong,39,1.591064607,3.663561646,0.62850999
Paper,Hong Kong,3.4,0.531478917,1.223775432,1.88154218
Paper,Hong Kong,6.6,0.819543936,1.887069649,1.220190836
Paper,Hong Kong,4.4,0.643452676,1.481604541,1.554115845
Paper,Hong Kong,56,1.748188027,4.025351691,0.572020849
Paper,Hong Kong,61,1.785329835,4.110873864,0.56012059
Paper,Hong Kong,6,0.77815125,1.791759469,1.285097209
Paper,Hong Kong,37,1.568201724,3.610917913,0.637673065
Paper,Hong Kong,8,0.903089987,2.079441542,1.107309365
Paper,Hong Kong,51,1.707570176,3.931825633,0.585627469
Paper,Hong Kong,11.8,1.071882007,2.468099531,0.932938507
Paper,Hong Kong,7,0.84509804,1.945910149,1.183294662
Paper,Hong Kong,97,1.986771734,4.574710979,0.503329085
Paper,Hong Kong,149,2.173186268,5.003946306,0.460153837
Paper,Hong Kong,6,0.77815125,1.791759469,1.285097209
Paper,Hong Kong,27,1.431363764,3.295836866,0.698634425
Paper,Hong Kong,128,2.10720997,4.852030264,0.474561156
Paper,Hong Kong,7.5,0.875061263,2.014903021,1.142777131
Paper,Hong Kong,44,1.643452676,3.784189634,0.608475081
Paper,Hong Kong,23,1.361727836,3.135494216,0.734361136
Paper,Hong Kong,111,2.045322979,4.709530201,0.488920337
Paper,Hong Kong,90,1.954242509,4.49980967,0.511707219
Paper,Hong Kong,5,0.698970004,1.609437912,1.430676558
Paper,Hong Kong,25,1.397940009,3.218875825,0.715338279
Paper,Hong Kong,20,1.301029996,2.995732274,0.768621787
Paper,Hong Kong,10,1,2.302585093,1
Paper,Hong Kong,43,1.633468456,3.761200116,0.612194252
Paper,Hong Kong,6,0.77815125,1.791759469,1.285097209
Paper,Hong Kong,19,1.278753601,2.944438979,0.782011483
Paper,Hong Kong,70,1.84509804,4.248495242,0.54197662
Paper,Hong Kong,15,1.176091259,2.708050201,0.850274154
Paper,Hong Kong,9,0.954242509,2.197224577,1.047951637
Paper,Hong Kong,147,2.167317335,4.990432587,0.461399899
Paper,Hong Kong,15,1.176091259,2.708050201,0.850274154
Paper,Hong Kong,8,0.903089987,2.079441542,1.107309365
Paper,Hong Kong,12,1.079181246,2.48490665,0.926628408
Paper,Hong Kong,10.5,1.021189299,2.351375257,0.979250371
Paper,Hong Kong,14,1.146128036,2.63905733,0.87250287
Paper,Hong Kong,4,0.602059991,1.386294361,1.660964047
Paper,Hong Kong,26,1.414973348,3.258096538,0.706727092
Paper,Hong Kong,23,1.361727836,3.135494216,0.734361136
Paper,Hong Kong,9,0.954242509,2.197224577,1.047951637
Paper,Hong Kong,24,1.380211242,3.17805383,0.724526775
Paper,Hong Kong,8,0.903089987,2.079441542,1.107309365
Paper,Hong Kong,18,1.255272505,2.890371758,0.79663977
Paper,Hong Kong,48,1.681241237,3.871201011,0.594798639
Paper,Hong Kong,35,1.544068044,3.555348061,0.647639852
Paper,Hong Kong,72,1.857332496,4.276666119,0.53840656
Paper,Hong Kong,16,1.204119983,2.772588722,0.830482024
Paper,Hong Kong,32,1.505149978,3.465735903,0.664385619
Paper,Hong Kong,6,0.77815125,1.791759469,1.285097209
Paper,Hong Kong,5,0.698970004,1.609437912,1.430676558
Paper,Hong Kong,6.5,0.812913357,1.871802177,1.230143399
Paper,Hong Kong,5,0.698970004,1.609437912,1.430676558
Paper,Hong Kong,1,0,0,0
Paper,Hong Kong,50,1.698970004,3.912023005,0.58859191
Paper,Hong Kong,7,0.84509804,1.945910149,1.183294662
Paper,Hong Kong,30,1.477121255,3.401197382,0.676992493
Paper,Hong Kong,105,2.021189299,4.65396035,0.49475821
Paper,Hong Kong,10,1,2.302585093,1
